,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
4693,Denmark,DNK,2020-12-17,4,0,0,,0,0.0,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4694,Denmark,DNK,2020-12-18,4,4,0,,0,6.902105539060482e-05,6.902105539060482e-05,0.0,0.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4695,Denmark,DNK,2020-12-19,5,5,0,,0,0.0,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4696,Denmark,DNK,2020-12-20,5,5,0,,0,8.627631923825603e-05,8.627631923825603e-05,0.0,0.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4697,Denmark,DNK,2020-12-21,6,6,0,,0,0.0,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4698,Denmark,DNK,2020-12-22,7,7,0,1.0,1,0.0,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4699,Denmark,DNK,2020-12-23,11,11,0,4.0,1,0.0,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4700,Denmark,DNK,2020-12-24,12,12,0,1.0,1,0.0,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4701,Denmark,DNK,2020-12-25,12,12,0,,1,0.00020706316617181446,0.00020706316617181446,0.0,0.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4702,Denmark,DNK,2020-12-26,13,13,0,,1,0.0,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4703,Denmark,DNK,2020-12-27,6336,6336,0,6323.0,904,0.11,0.11,0.0,156.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4704,Denmark,DNK,2020-12-28,8344,8344,0,2008.0,1191,0.14,0.14,0.0,206.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4705,Denmark,DNK,2020-12-29,17095,17095,0,8751.0,2441,0.3,0.3,0.0,421.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4706,Denmark,DNK,2020-12-30,28297,28297,0,11202.0,4041,0.49,0.49,0.0,698.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4707,Denmark,DNK,2020-12-31,34305,34305,0,6008.0,4899,0.59,0.59,0.0,846.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4708,Denmark,DNK,2021-01-01,36585,36585,0,2280.0,5225,0.63,0.63,0.0,902.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4709,Denmark,DNK,2021-01-02,45220,45220,0,8635.0,6458,0.78,0.78,0.0,1115.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4710,Denmark,DNK,2021-01-03,51023,51023,0,5803.0,6384,0.88,0.88,0.0,1102.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4711,Denmark,DNK,2021-01-04,53416,53416,0,2393.0,6439,0.92,0.92,0.0,1112.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4712,Denmark,DNK,2021-01-05,66619,66619,0,13203.0,7075,1.15,1.15,0.0,1221.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4713,Denmark,DNK,2021-01-06,85892,85892,0,19273.0,8228,1.48,1.48,0.0,1421.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4714,Denmark,DNK,2021-01-07,102981,102981,0,17089.0,9811,1.78,1.78,0.0,1694.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4715,Denmark,DNK,2021-01-08,111245,111245,0,8264.0,10666,1.92,1.92,0.0,1841.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4716,Denmark,DNK,2021-01-09,113130,113129,1,1885.0,9701,1.95,1.95,0.0,1675.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4717,Denmark,DNK,2021-01-10,113945,113944,1,815.0,8989,1.97,1.97,0.0,1552.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4718,Denmark,DNK,2021-01-11,114603,114602,1,658.0,8741,1.98,1.98,0.0,1509.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4719,Denmark,DNK,2021-01-12,115067,115066,1,464.0,6921,1.99,1.99,0.0,1195.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4720,Denmark,DNK,2021-01-13,127670,127668,2,12603.0,5968,2.2,2.2,0.0,1030.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4721,Denmark,DNK,2021-01-14,145345,145343,2,17675.0,6052,2.51,2.51,0.0,1045.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4722,Denmark,DNK,2021-01-15,160345,160338,7,15000.0,7014,2.77,2.77,0.0,1211.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4723,Denmark,DNK,2021-01-16,164890,164875,15,4545.0,7394,2.85,2.85,0.0,1277.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4724,Denmark,DNK,2021-01-17,168044,167332,712,3154.0,7728,2.9,2.89,0.01,1334.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4725,Denmark,DNK,2021-01-18,173944,171135,2809,5900.0,8477,3.0,2.95,0.05,1464.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
4726,Denmark,DNK,2021-01-19,178430,173580,4850,4486.0,9052,3.08,3.0,0.08,1563.0,"Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
