,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
10856,Luxembourg,LUX,2020-12-30,1200,0,0,,0,0.19,0.19,0.0,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10857,Luxembourg,LUX,2020-12-31,1261,1261,0,,62,0.2014914521925178,0.2014914521925178,0.0,99.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10858,Luxembourg,LUX,2021-01-01,1323,1323,0,,62,0.21139824841451316,0.21139824841451316,0.0,99.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10859,Luxembourg,LUX,2021-01-02,1385,1385,0,,62,0.22130504463650844,0.22130504463650844,0.0,99.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10860,Luxembourg,LUX,2021-01-03,1447,1447,0,,62,0.2312118408585038,0.2312118408585038,0.0,99.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10861,Luxembourg,LUX,2021-01-04,1509,1509,0,,62,0.2411186370804991,0.2411186370804991,0.0,99.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10862,Luxembourg,LUX,2021-01-05,1571,1571,0,,62,0.25102543330249444,0.25102543330249444,0.0,99.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10863,Luxembourg,LUX,2021-01-06,1633,1633,0,,62,0.26093222952448974,0.26093222952448974,0.0,99.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10864,Luxembourg,LUX,2021-01-07,1695,1695,0,,62,0.2708390257464851,0.2708390257464851,0.0,99.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10865,Luxembourg,LUX,2021-01-08,1757,1757,0,,62,0.2807458219684804,0.2807458219684804,0.0,99.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10866,Luxembourg,LUX,2021-01-09,1819,1819,0,,62,0.2906526181904757,0.2906526181904757,0.0,99.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10867,Luxembourg,LUX,2021-01-10,1881,1881,0,,62,0.3005594144124711,0.3005594144124711,0.0,99.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10868,Luxembourg,LUX,2021-01-11,1943,1943,0,,62,0.31,0.31,0.0,99.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10869,Luxembourg,LUX,2021-01-12,2372,2372,0,429.0,114,0.38,0.38,0.0,182.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10870,Luxembourg,LUX,2021-01-13,2871,2871,0,499.0,177,0.46,0.46,0.0,283.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10871,Luxembourg,LUX,2021-01-14,3233,3233,0,362.0,220,0.52,0.52,0.0,351.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10872,Luxembourg,LUX,2021-01-15,3407,3407,0,,236,0.544394431102227,0.544394431102227,0.0,377.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10873,Luxembourg,LUX,2021-01-16,3581,3581,0,,252,0.5721973753381493,0.5721973753381493,0.0,403.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10874,Luxembourg,LUX,2021-01-17,3755,3755,0,,268,0.6,0.6,0.0,428.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10875,Luxembourg,LUX,2021-01-18,4569,4569,0,814.0,375,0.73,0.73,0.0,599.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10876,Luxembourg,LUX,2021-01-19,5294,5294,0,725.0,417,0.85,0.85,0.0,666.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10877,Luxembourg,LUX,2021-01-20,6193,6193,0,899.0,475,0.99,0.99,0.0,759.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10878,Luxembourg,LUX,2021-01-21,6897,6897,0,704.0,523,1.1,1.1,0.0,835.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
10879,Luxembourg,LUX,2021-01-22,7311,7000,311,,558,1.1682030190162551,1.11850925087044,0.049693768145815255,891.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html
